i,v1,v2lin,v3
1296,2,18,2
1297,12,25,0
1298,24,14,0
1299,5,23,1
1300,25,11,0
1301,14,18,1
1302,2,34,0
1303,3,7,3
1304,3,25,1
1305,7,24,1
1306,12,6,2
1307,17,9,1
1308,15,25,0
1309,4,27,1
1310,22,0,1
1311,29,6,0
1312,0,1,4
1313,6,2,3
1314,19,4,1
1315,6,1,3
1316,10,26,0
1317,1,21,2
1318,5,4,3
1319,2,19,2
1320,1,11,3
1321,1,28,1
1322,28,4,0
1323,13,15,1
1324,4,6,3
1325,20,16,0
1326,5,14,2
1327,3,17,2
1328,10,9,2
1329,25,7,0
1330,0,23,2
1331,10,18,1
1332,12,3,2
1333,24,18,0
1334,11,26,0
1335,30,1,0
1336,15,6,2
1337,0,35,0
1338,18,8,1
1339,5,32,0
1340,0,30,1
1341,0,2,4
1342,17,10,1
1343,9,27,0
1344,21,2,1
1345,24,11,0
1346,12,7,2
1347,11,17,1
1348,14,14,1
1349,5,22,1
1350,15,22,1
1351,23,11,0
1352,0,14,3
1353,4,16,2
1354,3,8,3
1355,11,7,2
1356,13,2,2
1357,24,17,0
1358,29,4,0
1359,17,19,0
1360,14,0,2
1361,6,12,2
1362,22,1,1
1363,12,16,1
1364,26,16,0
1365,26,9,0
1366,8,28,0
1367,12,4,2
1368,4,33,0
1369,11,8,2
1370,20,18,0
1371,17,11,1
1372,10,7,2
1373,22,22,0
1374,2,26,1
1375,21,20,0
1376,2,10,3
1377,14,1,2
1378,0,3,4
1379,1,12,3
1380,15,13,1
1381,29,7,0
1382,25,3,1
1383,14,5,2
1384,28,5,0
1385,1,29,1
1386,17,24,0
1387,14,19,1
1388,16,20,0
1389,6,22,1
1390,5,15,2
1391,7,0,3
1392,6,3,3
1393,2,20,2
1394,15,18,1
1395,5,18,2
1396,18,9,1
1397,22,21,0
1398,1,22,2
1399,24,23,0
1400,25,4,1
1401,22,15,0
1402,16,25,0
1403,5,24,1
1404,1,0,4
1405,7,11,2
1406,23,0,1
1407,8,20,1
1408,16,12,1
1409,18,14,1
1410,15,21,0
1411,13,6,2
1412,3,34,0
1413,25,8,0
1414,7,21,1
1415,23,12,0
1416,27,13,0
1417,13,7,2
1418,5,25,1
1419,12,26,0
1420,2,11,3
1421,11,22,1
1422,0,15,3
1423,5,6,3
1424,14,15,1
1425,5,5,3
1426,6,29,1
1427,24,12,0
1428,19,8,1
1429,3,18,2
1430,0,24,2
1431,7,29,0
1432,7,1,3
1433,13,3,2
1434,1,1,4
1435,4,17,2
1436,11,18,1
1437,16,6,2
1438,29,5,0
1439,21,3,1
1440,30,2,0
1441,1,32,0
1442,15,14,1
1443,10,27,0
1444,26,10,0
1445,6,30,0
1446,12,17,1
1447,11,9,2
1448,16,22,1
1449,5,27,1
1450,18,19,0
1451,2,35,0
1452,1,13,3
1453,29,8,0
1454,22,2,1
1455,20,17,0
1456,13,16,1
1457,15,0,2
1458,28,6,0
1459,18,10,1
1460,23,1,1
1461,23,8,1
1462,20,7,1
1463,0,4,4
1464,20,8,1
1465,8,25,1
1466,16,13,1
1467,7,2,3
1468,12,8,2
