i,tau,E
1189,inf,1.7004
1190,inf,1.70045
1191,inf,1.70082
1192,inf,1.7009
1193,inf,1.70154
1194,inf,1.70164
1195,inf,1.70378
1196,inf,1.70489
1197,inf,1.70531
1198,inf,1.70551
1199,inf,1.70606
1200,inf,1.70622
1201,inf,1.70659
1202,inf,1.70673
1203,inf,1.70882
1204,inf,1.70931
1205,inf,1.70955
1206,inf,1.70958
1207,inf,1.70974
1208,inf,1.70995
1209,inf,1.71004
1210,inf,1.71021
1211,inf,1.71042
1212,inf,1.71121
1213,inf,1.71187
1214,inf,1.71279
1215,inf,1.71358
1216,inf,1.71414
1217,inf,1.71501
1218,inf,1.71544
1219,inf,1.71613
1220,inf,1.71642
1221,inf,1.71767
1222,inf,1.71802
1223,inf,1.71868
1224,inf,1.72043
1225,inf,1.72075
1226,inf,1.7215
1227,inf,1.72249
1228,inf,1.72254
1229,inf,1.7226
1230,inf,1.72321
1231,inf,1.72329
1232,inf,1.7237
1233,inf,1.72393
1234,inf,1.72457
1235,inf,1.72537
1236,inf,1.72547
1237,inf,1.72583
1238,inf,1.72641
1239,inf,1.72661
1240,inf,1.72868
1241,inf,1.7288
1242,inf,1.72951
1243,inf,1.73092
1244,inf,1.73115
1245,inf,1.73274
1246,inf,1.73302
1247,inf,1.73409
1248,inf,1.73612
1249,inf,1.73652
1250,inf,1.73673
1251,inf,1.73701
1252,inf,1.73703
1253,inf,1.73715
1254,inf,1.73717
1255,inf,1.73842
1256,inf,1.73876
1257,inf,1.73887
1258,inf,1.73947
1259,inf,1.73959
1260,inf,1.73989
1261,inf,1.73991
1262,inf,1.73996
1263,inf,1.7401
1264,inf,1.74111
1265,inf,1.74121
1266,inf,1.74294
1267,inf,1.74308
1268,inf,1.74366
1269,inf,1.74402
1270,inf,1.74405
1271,inf,1.74477
1272,inf,1.7454
1273,inf,1.74712
1274,inf,1.74728
1275,inf,1.74737
1276,inf,1.74763
1277,inf,1.748
1278,inf,1.74826
1279,inf,1.75085
1280,inf,1.75087
1281,inf,1.75194
1282,inf,1.75222
1283,inf,1.75226
1284,inf,1.75284
1285,inf,1.75403
1286,inf,1.75436
1287,inf,1.75474
1288,inf,1.75484
1289,inf,1.75632
1290,inf,1.75633
1291,inf,1.75667
1292,inf,1.75683
1293,inf,1.75749
1294,inf,1.7578
1295,inf,1.75782
1296,inf,1.75863
1297,inf,1.75863
1298,inf,1.75897
1299,inf,1.76048
1300,inf,1.76124
1301,inf,1.76202
1302,inf,1.76231
1303,inf,1.76412
1304,inf,1.76587
1305,inf,1.7659
1306,inf,1.7666
1307,inf,1.76757
1308,inf,1.76762
1309,inf,1.76785
1310,inf,1.76814
1311,inf,1.76815
1312,inf,1.76892
1313,inf,1.76922
1314,inf,1.76984
1315,inf,1.77143
1316,inf,1.77158
1317,inf,1.77194
1318,inf,1.77196
1319,inf,1.7724
1320,inf,1.77296
1321,inf,1.77299
1322,inf,1.77404
1323,inf,1.77519
1324,inf,1.77561
1325,inf,1.77612
1326,inf,1.7766
1327,inf,1.77709
1328,inf,1.77838
1329,inf,1.77843
1330,inf,1.7791
1331,inf,1.77934
1332,inf,1.78043
1333,inf,1.78178
1334,inf,1.78291
1335,inf,1.78303
1336,inf,1.7831
1337,inf,1.78311
1338,inf,1.78329
1339,inf,1.78356
1340,inf,1.78386
1341,inf,1.78584
1342,inf,1.78612
1343,inf,1.78628
1344,inf,1.78649
1345,inf,1.78744
1346,inf,1.78811
1347,inf,1.78853
1348,inf,1.78884
1349,inf,1.78965
1350,inf,1.79011
1351,inf,1.79017
1352,inf,1.79067
1353,inf,1.79404
1354,inf,1.79409
1355,inf,1.79443
1356,inf,1.79457
1357,inf,1.79463
1358,inf,1.79467
1359,inf,1.79498
